,TIME,DEPTH,TEMP,PRES,PSAL,CNDC
332,19770.398634259258,25,6.485,26.0,34.654,34.51
333,19770.554803240742,25,6.238,27.0,34.980000000000004,34.577
334,19770.645173611112,25,6.3180000000000005,26.0,34.998,34.666000000000004
335,19770.737083333333,25,6.1450000000000005,27.0,34.955,34.47
336,19770.887708333332,25,6.502,26.0,35.017,34.852000000000004
337,19770.956898148146,25,6.668,26.0,35.076,35.057
338,19770.997604166667,25,7.1690000000000005,28.0,35.178,35.614
339,19771.313981481482,25,7.5,26.0,35.168,35.912
340,19771.342453703703,25,7.361,27.0,35.147,35.763
341,19771.544826388887,25,7.1770000000000005,25.0,35.138,35.583
342,19771.62366898148,25,7.426,28.0,35.206,35.878
343,19771.699328703704,25,7.0360000000000005,28.0,35.136,35.453
344,19771.951701388887,25,5.071,27.0,34.658,33.236000000000004
345,19772.086875,25,4.698,27.0,34.872,33.085
346,19772.41866898148,25,-1.196,29.0,34.762,27.855
347,19772.76310185185,25,-0.093,25.0,34.737,28.771
348,19772.988877314816,25,0.419,25.0,34.761,29.227
349,19773.229363425926,25,-1.677,25.0,34.622,27.347
350,19773.43289351852,25,2.463,27.0,34.964,31.168
351,19773.575520833332,25,-0.308,26.0,34.562,28.457
352,19773.72025462963,25,-0.974,25.0,34.479,27.833000000000002
353,19773.910613425924,25,-1.7650000000000001,27.0,34.347,27.078
354,19774.172592592593,25,-1.379,26.0,34.331,27.386
355,19774.324722222223,25,-1.335,27.0,34.458,27.515
356,19774.494641203706,25,2.322,27.0,34.97,31.048000000000002
357,19774.646967592595,25,1.452,27.0,34.83,30.176000000000002
358,19774.782314814813,25,-0.10400000000000001,26.0,34.579,28.643
359,19775.004814814816,25,1.756,27.0,34.958,30.541
360,19775.171620370373,25,0.378,26.0,34.687,29.136
361,19775.313668981482,25,3.162,28.0,35.049,31.857
362,19775.46423611111,25,3.406,27.0,35.062,32.085
363,19775.60027777778,25,3.384,27.0,35.058,32.062
364,19775.678796296295,25,6.1160000000000005,25.0,33.25,32.925
365,19775.719178240743,25,3.087,27.0,35.035000000000004,31.778000000000002
366,19775.73582175926,25,6.267,25.0,33.499,33.28
367,19775.756863425926,25,6.229,26.0,33.348,33.112
368,19775.797488425927,25,6.2700000000000005,27.0,33.322,33.125
369,19775.840891203705,25,6.478,27.0,33.291000000000004,33.281
370,19775.841087962963,25,2.291,27.0,34.93,30.989
371,19775.89681712963,25,6.4190000000000005,25.0,33.339,33.271
372,19775.905266203703,25,5.639,27.0,35.103,34.137
373,19775.953564814816,25,6.825,25.0,33.415,33.698
374,19775.968495370373,25,2.948,27.0,35.029,31.650000000000002
375,19776.09962962963,25,5.976,27.0,35.092,34.436
376,19776.100381944445,25,3.42,26.0,35.008,32.052
377,19776.115520833333,25,7.514,25.0,33.438,34.331
378,19776.173564814813,25,7.997,25.0,33.562,34.878
